",,,,,,,,,,,,,",,,,Imagos,,,"Oeufs, larves et pupes",,,,
Numéro,Type,Enfermé ?,Nombre,Cellule radiale (mm),Masse fraiche individuelle (mg),ITD (mm),Masse totale (mg),Masse moyenne (mg),,,
98,Ouvrière ☿,Non,1,3,206,"4,73",,,,,
99,Ouvrière ☿,Non,,,,,,,,,
100,Ouvrière ☿,Non,1,3,222,"4,5",,,,,
101,Ouvrière ☿,Non,1,3,249,"3,61",,,,,
102,Ouvrière ☿,Non,1,2,166,"3,29",,,,,
103,Ouvrière ☿,Non,1,3,193,"3,26",,,,,
104,Ouvrière ☿,Non,1,3,220,"3,78",,,,,
105,Ouvrière ☿,Non,1,4,322,"4,64",,,,,
106,Ouvrière ☿,Non,1,2,117,"2,89",,,,,
107,Ouvrière ☿,Non,1,3,226,"3,88",,,,,
108,Ouvrière ☿,Non,1,3,281,"4,11",,,,,
109,Ouvrière ☿,Non,1,4,314,"4,58",,,,,
110,Ouvrière ☿,Non,,3,256,"3,95",,,,,
111,Ouvrière ☿,Non,,4,304,"4,2",,,,,
112,Ouvrière ☿,Non,,3,270,"4,04",,,,,
113,Ouvrière ☿,Non,,3,260,"3,86",,,,,
114,Ouvrière ☿,Non,,3,195,"3,51",,,,,
115,Ouvrière ☿,Non,1,3,270,"3,73",,,,,
116,Ouvrière ☿,Non,1,3,251,"3,48",,,,,
117,Ouvrière ☿,Non,1,3,202,"3,9",,,,,
118,Ouvrière ☿,Non,1,3,193,"3,61",,,,,
119,Ouvrière ☿,Non,1,4,304,"4,18",,,,,
120,Ouvrière ☿,Non,1,3,257,"3,98",,,,,
121,Ouvrière ☿,Non,1,2,161,"3,44",,,,,
122,Ouvrière ☿,Non,1,3,248,"3,63",,,,,
123,Ouvrière ☿,Non,,,,,,,,,
124,Ouvrière ☿,Non,1,3,150,"3,07",,,,,
125,Ouvrière ☿,Non,1,3,358,"4,45",,,,,
126,Ouvrière ☿,Non,1,3,229,"3,75",,,,,
127,Dernier instar post-défécation,Oui,1,,,,314,,,,
128,Dernier instar post-défécation,Oui,1,,,,262,,,,
129,Dernier instar post-défécation,Oui,1,,,,299,,,,
130,Dernier instar post-défécation,Oui,1,,,,194,,,,
131,Dernier instar post-défécation,Oui,1,,,,361,,,,
132,Dernier instar post-défécation,Oui,1,,,,345,,,,
133,Dernier instar post-défécation,Oui,1,,,,270,,,,
134,Dernier instar post-défécation,Oui,1,,,,362,,,,
135,Dernier instar post-défécation,Oui,1,,,,428,,,,
136,Dernier instar post-défécation,Oui,1,,,,228,,,,
137,Dernier instar post-défécation,Oui,,,,,,,,,
138,Dernier instar post-défécation,Oui,,,,,,,,,
139,Pupe,Oui,1,,,,256,,,,
140,Premiers instars,Oui,15,,,,128,,,,
141,Premiers instars,Oui,1,,,,51,,,,
142,Premiers instars,Oui,12,,,,124,,,,
143,Premiers instars,Oui,11,,,,114,,,,
144,Premiers instars,Oui,15,,,,130,,,,
145,Oeuf,Oui,4,,,,0,,,,
146,Oeuf,Oui,4,,,,"5,6",,,,
147,Oeuf,Oui,6,,,,"9,1",,,,
148,Dernier instar post-défécation,Oui,1,,,,369,,,,
149,Dernier instar post-défécation,Oui,1,,,,333,,,,
150,Pupe,Oui,1,,,,353,,,,
151,Oeuf,Oui,4,,,,7,,,,
152,Oeuf,Oui,8,,,,8,,,,
153,Dernier instar post-défécation,Oui,1,,,,380,,,,
154,Pupe,Oui,1,,,,284,,,,
155,Pupe,Oui,1,,,,,,,,
156,Dernier instar post-défécation,Oui,1,,,,221,,,,
157,Pupe,Oui,1,,,,293,,,,
158,Pupe,Oui,1,,,,280,,,,
159,Pupe,Oui,1,,,,298,,,,
160,Pupe,Oui,1,,,,316,,,,
161,Pupe,Oui,1,,,,331,,,,
162,Pupe,Oui,1,,,,298,,,,
163,Ouvrière ☿,Oui,1,3,,"3,08",145,,,,
164,Pupe,Oui,1,,,,254,,,,
165,Pupe,Oui,1,,,,370,,,,
166,Pupe,Oui,1,,,,271,,,,
167,Pupe,Oui,1,,,,402,,,,
168,Pupe,Oui,1,,,,281,,,,
169,Ouvrière ☿,Oui,1,3,,"2,93",169,,,,
170,Dernier instar post-défécation,Oui,1,,,,250,,,,
171,Dernier instar post-défécation,Oui,1,,,,267,,,,
172,Pupe,Oui,1,,,,174,,,,
173,Oeuf,Oui,10,,,,93,,,,
174,Pupe,Oui,1,,,,216,,,,
175,Pupe,Oui,1,,,,281,,,,
176,Pupe,Oui,,,,,289,,,,
177,Pupe,Oui,,,,,318,,,,
178,Pupe,Oui,,,,,237,,,,
179,Pupe,Oui,,,,,295,,,,
180,Pupe,Oui,,,,,221,,,,
181,Pupe,Oui,,,,,217,,,,
182,Pupe,Oui,,,,,310,,,,
183,Pupe,Oui,,,,,347,,,,
184,Pupe,Oui,,,,,269,,,,
185,Oeuf,Oui,8,,,,9,,,,
186,Oeuf,Oui,10,,,,17,,,,
187,Oeuf,Oui,7,,,,10,,,,
188,Oeuf,Oui,12,,,,17,,,,
189,Pupe,Oui,,,,,364,,,,
190,Pupe,Oui,1,,,,368,,,,
191,Pupe,Oui,1,,,,352,,,,
192,Oeuf,Oui,12,,,,,,,,
193,Pupe,Oui,1,,,,198,,,,
194,Dernier instar post-défécation,Oui,1,,,,305,,,,
195,Pupe,Oui,1,,,,286,,,,
196,Dernier instar post-défécation,Oui,1,,,,254,,,,
197,Ouvrière ☿,Oui,1,pas d'ailes,297,,,,,,
198,Pupe,Oui,1,,,,226,,,,
199,Pupe,Oui,1,,,,117,,,,
200,Pupe,Oui,1,,,,333,,,,
201,Pupe,Oui,1,,,,237,,,,
202,Dernier instar post-défécation,Oui,1,,,,110,,,,
203,Ouvrière ☿,Oui,1,2,142,"2,99",,,,,
204,Ouvrière ☿,Oui,1,2,142,"3,36",,,,,
205,Pupe,Oui,1,,,,322,,,,
206,Pupe,Oui,1,,,,264,,,,
207,Pupe,Oui,1,,,,114,,,,
208,Premiers instars,Oui,16,,,,,,,,
209,Pupe,Oui,1,,,,282,,,,
210,Pupe,Oui,1,,,,251,,,,
211,Pupe,Oui,1,,,,281,,,,
212,Pupe,Oui,1,,,,305,,,,
213,Pupe,Oui,1,,,,268,,,,
214,Pupe,Oui,1,,,,253,,,,
215,Pupe,Oui,,,,,327,,,,
216,Premiers instars,Oui,25,,,,,,,,
217,Ouvrière ☿,Oui,1,3,126,,,,,,
218,Ouvrière ☿,Oui,1,3,295,,,,,,
219,Ouvrière ☿,Oui,1,2,113,,,,,,
220,Pupe,Oui,1,,,,317,,,,
221,Pupe,Oui,,,,,,,,,
222,Premiers instars,Oui,20,,,,,,,,
223,Ouvrière ☿,Oui,,,,,,,,,
224,Ouvrière ☿,Oui,,,,,,,,,
225,Ouvrière ☿,Oui,,,,,,,,,
226,Premiers instars,Oui,14,,,,,,,,
227,Premiers instars,Oui,48,,,,,,,,
228,Pupe,Oui,,,,,,,,,
229,Pupe,Oui,,,,,,,,,
230,Premiers instars,Oui,23,,,,,,,,
231,Premiers instars,Oui,21,,,,,,,,
232,Premiers instars,Oui,35,,,,,,,,
233,,Oui,,,,,,,,,
234,,Oui,,,,,,,,,
235,,Oui,,,,,,,,,
236,,Oui,,,,,,,,,
237,,Oui,,,,,,,,,
238,,Oui,,,,,,,,,
239,,Oui,,,,,,,,,
240,,Oui,,,,,,,,,
